category,label,n_pos_train,n_words,top_words
profession,authors and artists,157,20,"künstler, autoren, schauspieler, sänger, kunst, schriftsteller, danseurs, arts, pop, musik"
profession,doctors,48,7,"niedersächsischen, grève, ordre, ärzte, part, médecins, zahnärzte"
profession,farmers and fishermen,62,20,"producteurs, paysans, schlechten, saint, agriculteurs, marins, info, jean, mineurs, déplacement"
profession,health and care professionals,30,4,"trauma, grève, santé, prozent"
profession,journalists,41,4,"journalisten, gazprom, sagen, journalistes"
profession,legal professionals,42,5,"richter, anwälte, juges, karlsruher, magistrats"
profession,politicians and high-ranking officials,1175,20,"parti, gauche, opposition, politiker, grünen, élus, partei, ps, majorité, politiques"
profession,sex workers,23,3,"sexe, prostituierte, travailleuses"
profession,scientists and professors,82,17,"forscher, wissenschaftler, chercheurs, économistes, scientifiques, region, virus, dr, drittel, données"
profession,security forces,211,20,"policiers, ermittler, police, beamten, polizisten, forces, agents, enquêteurs, polizei, gendarmes"
profession,soldiers,135,20,"militaires, troupes, russes, soldats, bosnie, visite, armee, armée, armées, israelischen"
profession,teachers and educators,52,17,"lehrer, enseignants, bildung, maternelles, assistantes, bezahlung, pflege, eltern, parents, école"
profession,other professions,265,20,"experten, analystes, experts, pompiers, kritiker, berater, piloten, interrogent, hôtesses, lorraine"
social_roles_and_behavior,consumers and clients,290,20,"visiteurs, clients, millions, gäste, spectateurs, consommateurs, bank, février, mars, besucher"
social_roles_and_behavior,car drivers,20,1,voiture
social_roles_and_behavior,patients,78,18,"patienten, studie, patients, masin, behandlung, maladies, médicaments, stiftung, diabetes, deutschland"
social_deviance,extremists,60,13,"extrémistes, nationalistes, musulmans, islamistes, nazis, corelli, organisations, waffen, gruppe, violence"
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",162,20,"hamas, al, tchétchènes, israel, saboteure, islamique, terroristen, attentat, mouvement, flnc"
social_deviance,"offenders, criminals, prisoners and/or accused people",161,20,"täter, détenus, kriminelle, violence, anklage, bandes, info, prévenus, prison, angeklagten"
social_deviance,drug addicts,20,2,"drogue, toxicomanes"
real_estate_ownership,real-estate owners,69,19,"propriétaires, privés, travaux, bailleurs, logement, locataires, mieter, hausbesitzer, occupants, eigentümer"
real_estate_ownership,tenants,33,9,"propriétaires, travaux, bailleurs, wohnungsmieter, eau, logements, locataires, mieter, cdu"
real_estate_ownership,homeless,31,4,"abri, logements, enfants, sdf"
