broad_class,fold,sentence_id,label,country,mentions,mention_statuses,status,prob_entail,soccat_hit,dict_hit,llm_hit,test_mention,nearest_train_mention,proximity,bin
age_and_family_status,2,2570,"youth, including students and apprentices",Germany,Jeder zweite junge Franzose,partial,partial,0.9554676,1,1,1,Jeder zweite junge Franzose,offert aux jeunes Français,0.85398495,Q4
age_and_family_status,2,2626,"youth, including students and apprentices",Germany,junger engagierter Menschen mit Migrationshintergrund,partial,partial,0.9892552,1,0,1,junger engagierter Menschen mit Migrationshintergrund,ausländischer Jugendlicher,0.8258792,Q3
age_and_family_status,2,2742,singles,Germany,Singles,seen,seen,0.9802751,1,0,1,Singles,Singles,0.99999994,seen
age_and_family_status,2,2902,"minors, including children and pupils",France,élèves en rupture avec le système scolaire,partial,partial,0.9925236,1,1,1,élèves en rupture avec le système scolaire,des écoliers,0.7770688,Q2
age_and_family_status,2,2955,"youth, including students and apprentices",France,de jeunes,seen,seen,0.24909857,0,1,1,de jeunes,de jeunes,1.0000005,seen
age_and_family_status,2,2967,"minors, including children and pupils",France,les 4-14 ans,seen,seen,0.9914772,1,1,1,les 4-14 ans,4-14 ans,0.97675335,seen
age_and_family_status,2,2998,parents and families,France,les parents,seen,seen,0.99205023,1,1,1,les parents,les parents,0.99999976,seen
age_and_family_status,2,3005,"minors, including children and pupils",France,les gamins de la cité,unseen,unseen,0.99199414,1,0,1,les gamins de la cité,les enfants du quartier,0.87768734,Q4
age_and_family_status,2,3068,"minors, including children and pupils",France,les élèves de l'école de musique de Chambly,partial,partial,0.989963,1,1,0,les élèves de l'école de musique de Chambly,die Schüler,0.6572546,Q1
age_and_family_status,2,3083,"minors, including children and pupils",France,les filles,seen,seen,0.9835105,1,1,0,les filles,les filles,0.9999998,seen
age_and_family_status,2,3149,"minors, including children and pupils",France,enfants,seen,seen,0.99255705,1,1,1,enfants,enfants,1.0000001,seen
age_and_family_status,2,3149,"youth, including students and apprentices",France,adolescents,seen,seen,0.0011190968,0,0,1,adolescents,Jugendliche,0.9352275,seen
age_and_family_status,2,3201,"youth, including students and apprentices",France,les jeunes,seen,seen,0.98780894,1,1,1,les jeunes,les jeunes,1.0000001,seen
age_and_family_status,2,3201,elderly,France,les vieux,seen,seen,0.17176005,0,0,1,les vieux,alten,0.94431305,seen
age_and_family_status,2,3215,"youth, including students and apprentices",France,aux jeunes chefs d'entreprises,partial,partial,0.97584414,1,1,1,aux jeunes chefs d'entreprises,des jeunes professionnels,0.75504255,Q2
age_and_family_status,2,3231,"minors, including children and pupils",France,tous les enfants,seen,seen,0.99037373,1,1,1,tous les enfants,tous les enfants,0.9999999,seen
age_and_family_status,2,3233,parents and families,France,leurs parents,seen,seen,0.97196925,1,1,1,leurs parents,leurs parents,1.0,seen
age_and_family_status,2,3233,"youth, including students and apprentices",France,Les jeunes,seen,seen,0.989316,1,1,1,Les jeunes,Les jeunes,1.0,seen
age_and_family_status,2,3307,"minors, including children and pupils",France,les enfants,seen,seen,0.99249226,1,1,1,les enfants,les enfants,0.99999976,seen
age_and_family_status,2,3392,parents and families,France,les parents d'élèves,seen,seen,0.00058662,0,1,1,les parents d'élèves,les parents d'élèves,0.99999976,seen
age_and_family_status,2,3392,elderly,France,des vieux travailleurs,partial,partial,0.045125324,0,0,1,des vieux travailleurs,alten,0.74656713,Q2
age_and_family_status,2,3441,"minors, including children and pupils",France,d'enfants,seen,seen,0.99147296,1,1,1,d'enfants,d'enfants,0.9999999,seen
age_and_family_status,2,3465,"youth, including students and apprentices",France,des jeunes du club,partial,partial,0.98556304,1,1,1,des jeunes du club,des bandes de jeunes,0.8583183,Q4
age_and_family_status,2,3486,parents and families,France,ces familles qui sont obligées de faire appel à des assistantes maternelles agréées,partial,partial,0.9901134,1,1,1,ces familles qui sont obligées de faire appel à des assistantes maternelles agréées,Les mères de famille,0.81236845,Q3
age_and_family_status,2,3486,"minors, including children and pupils",France,d'enfants,seen,seen,0.9035939,1,1,0,d'enfants,d'enfants,0.9999999,seen
age_and_family_status,2,3530,"minors, including children and pupils",France,du mouvement lycéen,partial,partial,0.7686562,1,0,0,du mouvement lycéen,les lycéens,0.8865387,Q4
age_and_family_status,2,3530,"youth, including students and apprentices",France,des plus jeunes manifestants,partial,partial,0.008687436,0,1,1,des plus jeunes manifestants,les représentants des jeunes,0.7906198,Q3
age_and_family_status,2,3643,"youth, including students and apprentices",France,des meilleurs étudiants de cette université,partial,partial,0.98349553,1,1,1,des meilleurs étudiants de cette université,ihre Studenten,0.7973851,Q3
age_and_family_status,2,3673,"minors, including children and pupils",France,aux élèves de terminales,partial,partial,0.9752501,1,1,0,aux élèves de terminales,des lycéens et collégiens,0.89041084,Q4
age_and_family_status,2,3933,parents and families,France,toutes les familles,seen,seen,0.9913346,1,1,1,toutes les familles,ganze Großfamilien,0.9159274,seen
age_and_family_status,2,4057,"minors, including children and pupils",France,les élèves,seen,seen,0.9919516,1,1,1,les élèves,les élèves,0.99999976,seen
age_and_family_status,2,4089,"minors, including children and pupils",France,aux jeunes à partir de 14 ans,partial,partial,0.709981,1,1,0,aux jeunes à partir de 14 ans,aux jeunes de 11 à 17 ans,0.9327781,Q5
age_and_family_status,2,4127,"minors, including children and pupils",France,Les classes de ville,partial,partial,5.218185e-05,0,0,0,Les classes de ville,les enfants des deux quartiers,0.60136855,Q1
age_and_family_status,2,4217,parents and families,France,un public familial,partial,partial,0.24158782,0,0,1,un public familial,eine Familie,0.83510226,Q3
age_and_family_status,2,4217,"minors, including children and pupils",France,un public enfantin,partial,partial,0.83615935,1,1,1,un public enfantin,enfantines,0.7252316,Q2
age_and_family_status,2,4238,parents and families,France,Une famille moyenne,partial,partial,0.99188143,1,1,1,Une famille moyenne,des familles,0.8762437,Q4
age_and_family_status,2,4294,parents and families,France,des familles « lourdes » d'immigrés qui posent des problèmes sociaux,partial,partial,0.93559057,1,1,1,des familles « lourdes » d'immigrés qui posent des problèmes sociaux,de nombreuses familles en grande difficulté,0.809109,Q3
age_and_family_status,2,4296,elderly,France,public plus âgé,partial,partial,0.6804239,1,0,0,public plus âgé,älterer Menschen,0.82846886,Q3
age_and_family_status,2,4313,"minors, including children and pupils",France,les moins de 12 ans,seen,seen,0.9926172,1,1,1,les moins de 12 ans,les moins de 12 ans,1.0,seen
age_and_family_status,2,4335,parents and families,France,des parents,seen,seen,0.9919938,1,1,1,des parents,des parents,0.99999994,seen
age_and_family_status,2,4335,"minors, including children and pupils",France,L'adolescent,seen,seen,0.0016209225,0,0,0,L'adolescent,l'adolescent,0.99857473,seen
age_and_family_status,2,4347,"youth, including students and apprentices",France,d'emplois jeunes,seen,seen,0.9871525,1,1,1,d'emplois jeunes,de jeunes au chômage,0.8687717,seen
age_and_family_status,2,4372,"minors, including children and pupils",France,les jeunes | les 7/12 ans | les 8/10 ans | les 10/12 ans | les 10/12 ans,partial | seen | seen | seen | seen,seen,0.9901664,1,1,1,les 7/12 ans,les 7/12 ans,1.0000001,seen
age_and_family_status,2,4375,"minors, including children and pupils",France,aux 8-12 ans | les enfants,seen | seen,seen,0.9924654,1,1,1,les enfants,les enfants,1.0,seen
age_and_family_status,2,4557,"minors, including children and pupils",France,Enfants,seen,seen,0.9885795,1,1,1,Enfants,Kleinkinder,0.9389951,seen
age_and_family_status,2,4591,"minors, including children and pupils",France,les élèves,seen,seen,0.9923344,1,1,1,les élèves,les élèves,1.0,seen
age_and_family_status,2,4592,"youth, including students and apprentices",France,étudiants de l'université,partial,partial,0.98538095,1,1,1,étudiants de l'université,d'étudiants,0.9448662,Q5
age_and_family_status,2,4667,"youth, including students and apprentices",France,des boursiers,partial,partial,2.4060811e-05,0,0,0,des boursiers,de jeunes millionnaires,0.62896717,Q1
age_and_family_status,2,4686,"minors, including children and pupils",France,les enfants de moins de 3 ans,seen,seen,0.9911459,1,1,1,les enfants de moins de 3 ans,les moins de 3 ans,0.9662504,seen
age_and_family_status,2,4888,"minors, including children and pupils",France,des enfants,seen,seen,0.98667914,1,1,1,des enfants,des enfants,0.99999994,seen
age_and_family_status,2,4897,"minors, including children and pupils",France,Si les petits garçons | beaucoup de petites filles,partial | partial,partial,0.98031944,1,1,1,Si les petits garçons,les petits enfants,0.8679305,Q4
age_and_family_status,2,4948,"youth, including students and apprentices",France,jeunes prometteurs,partial,partial,0.98907185,1,1,1,jeunes prometteurs,Les jeunes,0.8754637,Q4
age_and_family_status,2,4952,"youth, including students and apprentices",France,les jeunes,seen,seen,0.99155945,1,1,1,les jeunes,les jeunes,1.0000001,seen
age_and_family_status,2,5009,"minors, including children and pupils",France,les individus de quatre ans et plus,partial,partial,0.68763274,1,1,0,les individus de quatre ans et plus,les plus de 15 ans,0.865196,Q4
age_and_family_status,2,5015,"minors, including children and pupils",France,Enfants,seen,seen,0.99124056,1,1,1,Enfants,Kleinkinder,0.9389951,seen
age_and_family_status,2,5051,parents and families,France,de familles,seen,seen,0.98649627,1,1,1,de familles,de familles,1.0,seen
age_and_family_status,2,5051,"youth, including students and apprentices",France,Beaucoup de jeunes gens,seen,seen,0.97942513,1,1,1,Beaucoup de jeunes gens,viele junge Menschen,0.9863812,seen
age_and_family_status,2,5194,elderly,France,les personnes âgées,seen,seen,0.9777284,1,1,1,les personnes âgées,des personnes âgées,0.9969986,seen
age_and_family_status,2,5201,"minors, including children and pupils",France,adolescente,seen,seen,0.0066138324,0,0,0,adolescente,l'adolescent,0.9742976,seen
age_and_family_status,2,5394,"minors, including children and pupils",France,Les 11-13 ans,seen,seen,0.9924935,1,1,1,Les 11-13 ans,Les 11-14 ans,0.936298,seen
age_and_family_status,2,5469,"minors, including children and pupils",France,aux enfants,seen,seen,0.9900511,1,1,1,aux enfants,aux enfants,1.0,seen
age_and_family_status,2,5471,"youth, including students and apprentices",France,Des grappes d'adolescents,partial,partial,0.028968899,0,0,1,Des grappes d'adolescents,der Jugendlichen,0.92390597,Q5
age_and_family_status,2,5491,"youth, including students and apprentices",France,des adolescents,seen,seen,0.89322776,1,0,1,des adolescents,Jugendliche,0.96178436,seen
age_and_family_status,2,5501,"minors, including children and pupils",France,les enfants de 3 à 9,seen,seen,0.99229974,1,1,1,les enfants de 3 à 9,les enfants de 4 à 11 ans,0.9394882,seen
age_and_family_status,2,5519,parents and families,France,de familles,seen,seen,0.98627603,1,1,1,de familles,de familles,1.0,seen
age_and_family_status,2,5519,"youth, including students and apprentices",France,Beaucoup de jeunes gens,seen,seen,0.9789969,1,1,1,Beaucoup de jeunes gens,viele junge Menschen,0.9863812,seen
age_and_family_status,2,5550,"minors, including children and pupils",France,aux enfants,seen,seen,0.9891774,1,1,1,aux enfants,aux enfants,1.0,seen
age_and_family_status,2,5564,"youth, including students and apprentices",France,les jeunes comédiens,partial,partial,0.9885395,1,1,1,les jeunes comédiens,les jeunes comédiens de la compagnie Crescendo,0.8700821,Q4
age_and_family_status,2,5576,"youth, including students and apprentices",France,Les jeunes filles | les jeunes hommes,partial | seen,seen,0.98406374,1,1,1,les jeunes hommes,jungen Männern,0.9832303,seen
age_and_family_status,2,5611,"youth, including students and apprentices",Germany,junge Kriminelle,partial,partial,0.984193,1,1,1,junge Kriminelle,des jeunes délinquants,0.9096133,Q5
age_and_family_status,2,5743,parents and families,Germany,ihrer Angehörigen,seen,seen,0.98049223,1,0,1,ihrer Angehörigen,deren Angehörige,0.9851477,seen
age_and_family_status,2,5808,parents and families,Germany,Die Eltern | die Kinder,seen | seen,seen,0.9924338,1,1,1,Die Eltern,Die Eltern,0.9999998,seen
age_and_family_status,2,6071,parents and families,Germany,unserer Eltern | unserer Großeltern,seen | unseen,seen,0.9779839,1,1,1,unserer Eltern,unseren Eltern,0.997239,seen
age_and_family_status,2,6076,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.99107575,1,0,0,Jugend,Jugend,1.0000002,seen
age_and_family_status,2,6146,"minors, including children and pupils",Germany,Teenager ab 15,unseen,unseen,0.0015082892,0,0,0,Teenager ab 15,l'adolescent,0.9076476,Q5
age_and_family_status,2,6241,"minors, including children and pupils",Germany,Kinder,seen,seen,0.98960495,1,0,0,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,6264,parents and families,Germany,die Eltern,seen,seen,0.99141055,1,1,1,die Eltern,die Eltern,1.0000001,seen
age_and_family_status,2,6341,parents and families,Germany,zum zerknitterten Großvater,unseen,unseen,0.0001635202,0,0,0,zum zerknitterten Großvater,un parent à l'autre,0.6975379,Q2
age_and_family_status,2,6341,"minors, including children and pupils",Germany, vom schreienden Baby,partial,partial,0.0047004777,0,0,1,vom schreienden Baby,des bambins,0.81951773,Q3
age_and_family_status,2,6341,elderly,Germany,zum zerknitterten Großvater,unseen,unseen,0.0003341534,0,0,1,zum zerknitterten Großvater,vieux,0.78391194,Q2
age_and_family_status,2,6409,"youth, including students and apprentices",Germany,Jugend | Kreisjugendrings,seen | partial,seen,0.98530376,1,0,0,Jugend,Jugend,1.0000002,seen
age_and_family_status,2,6413,"youth, including students and apprentices",Germany,der katholischen Jugend,seen,seen,0.9886367,1,1,1,der katholischen Jugend,der katholischen Jugend,0.9999996,seen
age_and_family_status,2,6556,"youth, including students and apprentices",Germany,der BJU,unseen,unseen,0.00086874515,0,0,1,der BJU,jugend,0.7541859,Q2
age_and_family_status,2,6755,parents and families,Germany,pflegende Angehörige,seen,seen,0.9893995,1,1,0,pflegende Angehörige,pflegende Angehörige,0.99999994,seen
age_and_family_status,2,6781,"minors, including children and pupils",Germany,diesen Kindern | die Kinder,seen | seen,seen,0.9922133,1,1,1,die Kinder,die Kinder,1.0,seen
age_and_family_status,2,6886,"youth, including students and apprentices",Germany,junge Menschen,seen,seen,0.9914381,1,1,1,junge Menschen,junge Menschen,0.99999976,seen
age_and_family_status,2,6907,parents and families,Germany,Familien,seen,seen,0.16611543,0,0,0,Familien,Familien,1.0000002,seen
age_and_family_status,2,6907,"minors, including children and pupils",Germany,Kinder,seen,seen,0.99039525,1,0,0,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,6960,"youth, including students and apprentices",Germany,jugendliche Gewalttäter,partial,partial,0.95869124,1,1,1,jugendliche Gewalttäter,la violence juvénile,0.93748504,Q5
age_and_family_status,2,6965,"minors, including children and pupils",Germany,Rund 1000 kleine Gäste,unseen,unseen,0.064512566,0,0,1,Rund 1000 kleine Gäste,les petits,0.6087077,Q1
age_and_family_status,2,7004,"minors, including children and pupils",Germany,den bayerischen Kindern,partial,partial,0.9887615,1,1,1,den bayerischen Kindern,des enfants des écoles de Fresnes,0.6631072,Q1
age_and_family_status,2,7025,"youth, including students and apprentices",Germany,die jugendlichen Bildungsverlierer,partial,partial,0.9851562,1,1,1,die jugendlichen Bildungsverlierer,les jeunes en grande difficulté,0.7931757,Q3
age_and_family_status,2,7244,"youth, including students and apprentices",Germany,den jungen Leuten,seen,seen,0.991314,1,1,1,den jungen Leuten,den jungen Leuten,1.0,seen
age_and_family_status,2,7281,"youth, including students and apprentices",Germany,den Studenten,seen,seen,0.9925264,1,1,1,den Studenten,des étudiants,0.9370892,seen
age_and_family_status,2,7285,"minors, including children and pupils",Germany,Kinder,seen,seen,0.9668251,1,1,1,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,7323,"minors, including children and pupils",Germany,Kinder,seen,seen,0.9860677,1,0,0,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,7375,parents and families,Germany,örtlicher Familien,partial,partial,0.9606005,1,1,1,örtlicher Familien,leur familles,0.8785492,Q4
age_and_family_status,2,7513,parents and families,Germany,Familie,seen,seen,0.004841555,0,0,1,Familie,famille,0.99388736,seen
age_and_family_status,2,7527,"minors, including children and pupils",Germany,den anderen Mitschülern,partial,partial,0.99133766,1,0,1,den anderen Mitschülern,les élèves,0.914003,Q5
age_and_family_status,2,7641,"minors, including children and pupils",Germany,die Kinder,seen,seen,0.98381513,1,1,1,die Kinder,die Kinder,1.0,seen
age_and_family_status,2,7650,"youth, including students and apprentices",Germany,die jungen Leute,seen,seen,0.99192226,1,1,1,die jungen Leute,den jungen Leuten,0.99418104,seen
age_and_family_status,2,7659,"minors, including children and pupils",Germany,Mittelschichtkind | Arbeitersproß,partial | partial,partial,0.012265457,0,0,0,Mittelschichtkind,kinder,0.7680044,Q2
age_and_family_status,2,7685,parents and families,Germany,die meisten Eltern,partial,partial,0.99211407,1,1,1,die meisten Eltern,des parents,0.8723278,Q4
age_and_family_status,2,7737,"youth, including students and apprentices",Germany,frische Absolventen | frische Absolventen,partial | partial,partial,0.0012692388,0,0,1,frische Absolventen,junge Akademiker,0.76200944,Q2
age_and_family_status,2,7738,"youth, including students and apprentices",Germany,14-Jährige,seen,seen,0.010278614,0,0,0,14-Jährige,den zehn- bis 14-jährigen Mädchen,0.84351295,seen
age_and_family_status,2,7767,"minors, including children and pupils",Germany,fast 70 Kinder,partial,partial,0.992222,1,1,1,fast 70 Kinder,75 Kinder,0.8264596,Q3
age_and_family_status,2,7769,parents and families,Germany,pflegende Angehörige,seen,seen,0.9905252,1,1,0,pflegende Angehörige,pflegende Angehörige,1.0,seen
age_and_family_status,2,7769,"minors, including children and pupils",Germany,Kinder,seen,seen,0.80666727,1,1,0,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,7769,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9784597,1,1,0,Jugend,Jugend,1.0000002,seen
age_and_family_status,2,7909,"youth, including students and apprentices",Germany,den vielen Jugendlichen im Sitzungssaal | Jugend,partial | seen,seen,0.98731005,1,1,1,Jugend,Jugend,1.0000002,seen
age_and_family_status,2,7980,"youth, including students and apprentices",Germany,Jugendarbeitslosigkeit,partial,partial,0.9862911,1,0,1,Jugendarbeitslosigkeit,jungen Arbeitslosen,0.9471332,Q5
age_and_family_status,2,8100,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9894911,1,0,0,Jugend,Jugend,1.0000002,seen
age_and_family_status,2,8131,"youth, including students and apprentices",Germany,die meisten sind jung,partial,partial,0.97174376,1,0,1,die meisten sind jung,viele junge Menschen,0.8421333,Q3
age_and_family_status,2,8175,"minors, including children and pupils",France,celles des enfants qui apprennent à écrire,partial,partial,0.987718,1,1,1,celles des enfants qui apprennent à écrire,des élèves d'école primaire,0.7656013,Q2
age_and_family_status,2,8336,"minors, including children and pupils",France,des enfants,seen,seen,0.96174717,1,1,1,des enfants,des enfants,0.9999999,seen
age_and_family_status,2,8560,"youth, including students and apprentices",France,la jeunesse,seen,seen,0.9911554,1,1,1,la jeunesse,la jeunesse,1.0000004,seen
age_and_family_status,2,8673,parents and families,France,la famille,seen,seen,0.9870782,1,1,0,la famille,la famille,1.0,seen
age_and_family_status,2,8673,"minors, including children and pupils",France,des garçons | des filles,seen | seen,seen,0.987763,1,1,1,des filles,les filles,0.9898757,seen
age_and_family_status,2,8802,"youth, including students and apprentices",France,Les jeunes des quartiers,seen,seen,0.9653927,1,1,1,Les jeunes des quartiers,les jeunes de quartiers,0.9975666,seen
age_and_family_status,2,8848,"minors, including children and pupils",France,aux mineurs,seen,seen,0.9918819,1,1,1,aux mineurs,aux mineurs,1.0000001,seen
age_and_family_status,2,8890,"youth, including students and apprentices",France,la jeunesse,seen,seen,0.9911869,1,1,1,la jeunesse,la jeunesse,1.0000004,seen
age_and_family_status,2,9042,"minors, including children and pupils",France,des élèves,seen,seen,0.9926696,1,1,1,des élèves,les élèves,0.99337053,seen
age_and_family_status,2,9071,couples,France,les époux,seen,seen,0.98706996,1,0,1,les époux,époux,0.9690523,seen
age_and_family_status,2,9088,"youth, including students and apprentices",France, des jeune,seen,seen,0.9886001,1,1,1,des jeune,des jeunes,0.9945552,seen
age_and_family_status,2,9131,"youth, including students and apprentices",France,"
Les jeunes gens nés avant le 1er janvier 19",partial,partial,0.9488767,1,1,1,Les jeunes gens nés avant le 1er janvier 19,des jeunes de moins de 25 ans,0.6757469,Q1
age_and_family_status,2,9285,parents and families,France,des familles,seen,seen,0.991915,1,1,1,des familles,des familles,1.0000001,seen
age_and_family_status,2,9303,"youth, including students and apprentices",France,10.000 jeunes,seen,seen,0.97173744,1,1,1,10.000 jeunes,viele junge Menschen,0.71582896,seen
age_and_family_status,2,9384,"minors, including children and pupils",France,des filles qui commencent à racoler dans les rues à 12 ans,partial,partial,0.9858994,1,1,1,des filles qui commencent à racoler dans les rues à 12 ans,des jeunes de 12 à 14 ans issus des quartiers sensibles,0.80618477,Q3
age_and_family_status,2,9393,elderly,France,les personnes âgées,seen,seen,0.9866981,1,1,1,les personnes âgées,des personnes âgées,0.9969986,seen
age_and_family_status,2,9396,couples,France,époux,seen,seen,0.97374445,1,0,1,époux,époux,1.0,seen
age_and_family_status,2,9401,"youth, including students and apprentices",France,des étudiants,seen,seen,0.99006534,1,1,1,des étudiants,des étudiants,1.0000001,seen
age_and_family_status,2,9418,couples,France,les couples de lesbiennes mariées,partial,partial,0.9841517,1,1,1,les couples de lesbiennes mariées,les couples hétérosexuels,0.89931166,Q4
age_and_family_status,2,9419,couples,France,aux couples de femmes,partial,partial,0.9804749,1,1,0,aux couples de femmes,les couples,0.8976645,Q4
