broad_class,fold,sentence_id,label,country,mentions,mention_statuses,status,prob_entail,soccat_hit,dict_hit,llm_hit
age_and_family_status,2,4557,"minors, including children and pupils",France,Enfants,seen,seen,0.9885795,1,1,1
age_and_family_status,2,4591,"minors, including children and pupils",France,les élèves,seen,seen,0.9923344,1,1,1
age_and_family_status,2,4592,"youth, including students and apprentices",France,étudiants de l'université,partial,partial,0.98538095,1,1,1
age_and_family_status,2,4667,"youth, including students and apprentices",France,des boursiers,partial,partial,2.4060811e-05,0,0,0
age_and_family_status,2,4686,"minors, including children and pupils",France,les enfants de moins de 3 ans,seen,seen,0.9911459,1,1,1
age_and_family_status,2,4888,"minors, including children and pupils",France,des enfants,seen,seen,0.98667914,1,1,1
age_and_family_status,2,4897,"minors, including children and pupils",France,Si les petits garçons | beaucoup de petites filles,partial | partial,partial,0.98031944,1,1,1
age_and_family_status,2,4948,"youth, including students and apprentices",France,jeunes prometteurs,partial,partial,0.98907185,1,1,1
age_and_family_status,2,4952,"youth, including students and apprentices",France,les jeunes,seen,seen,0.99155945,1,1,1
age_and_family_status,2,5009,"minors, including children and pupils",France,les individus de quatre ans et plus,partial,partial,0.68763274,1,1,0
age_and_family_status,2,5015,"minors, including children and pupils",France,Enfants,seen,seen,0.99124056,1,1,1
age_and_family_status,2,5051,parents and families,France,de familles,seen,seen,0.98649627,1,1,1
age_and_family_status,2,5051,"youth, including students and apprentices",France,Beaucoup de jeunes gens,seen,seen,0.97942513,1,1,1
age_and_family_status,2,5194,elderly,France,les personnes âgées,seen,seen,0.9777284,1,1,1
age_and_family_status,2,5201,"minors, including children and pupils",France,adolescente,seen,seen,0.0066138324,0,0,0
age_and_family_status,2,5394,"minors, including children and pupils",France,Les 11-13 ans,seen,seen,0.9924935,1,1,1
age_and_family_status,2,5469,"minors, including children and pupils",France,aux enfants,seen,seen,0.9900511,1,1,1
age_and_family_status,2,5471,"youth, including students and apprentices",France,Des grappes d'adolescents,partial,partial,0.028968899,0,0,1
age_and_family_status,2,5491,"youth, including students and apprentices",France,des adolescents,seen,seen,0.89322776,1,0,1
age_and_family_status,2,5501,"minors, including children and pupils",France,les enfants de 3 à 9,seen,seen,0.99229974,1,1,1
age_and_family_status,2,5519,parents and families,France,de familles,seen,seen,0.98627603,1,1,1
age_and_family_status,2,5519,"youth, including students and apprentices",France,Beaucoup de jeunes gens,seen,seen,0.9789969,1,1,1
age_and_family_status,2,5550,"minors, including children and pupils",France,aux enfants,seen,seen,0.9891774,1,1,1
age_and_family_status,2,5564,"youth, including students and apprentices",France,les jeunes comédiens,partial,partial,0.9885395,1,1,1
age_and_family_status,2,5576,"youth, including students and apprentices",France,Les jeunes filles | les jeunes hommes,partial | seen,seen,0.98406374,1,1,1
age_and_family_status,2,5611,"youth, including students and apprentices",Germany,junge Kriminelle,partial,partial,0.984193,1,1,1
age_and_family_status,2,5743,parents and families,Germany,ihrer Angehörigen,seen,seen,0.98049223,1,0,1
age_and_family_status,2,5808,parents and families,Germany,Die Eltern | die Kinder,seen | seen,seen,0.9924338,1,1,1
age_and_family_status,2,6071,parents and families,Germany,unserer Eltern | unserer Großeltern,seen | unseen,seen,0.9779839,1,1,1
age_and_family_status,2,6076,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.99107575,1,0,0
age_and_family_status,2,6146,"minors, including children and pupils",Germany,Teenager ab 15,unseen,unseen,0.0015082892,0,0,0
age_and_family_status,2,6241,"minors, including children and pupils",Germany,Kinder,seen,seen,0.98960495,1,0,0
age_and_family_status,2,6264,parents and families,Germany,die Eltern,seen,seen,0.99141055,1,1,1
age_and_family_status,2,6341,parents and families,Germany,zum zerknitterten Großvater,unseen,unseen,0.0001635202,0,0,0
age_and_family_status,2,6341,"minors, including children and pupils",Germany, vom schreienden Baby,partial,partial,0.0047004777,0,0,1
age_and_family_status,2,6341,elderly,Germany,zum zerknitterten Großvater,unseen,unseen,0.0003341534,0,0,1
age_and_family_status,2,6409,"youth, including students and apprentices",Germany,Jugend | Kreisjugendrings,seen | partial,seen,0.98530376,1,0,0
age_and_family_status,2,6413,"youth, including students and apprentices",Germany,der katholischen Jugend,seen,seen,0.9886367,1,1,1
age_and_family_status,2,6556,"youth, including students and apprentices",Germany,der BJU,unseen,unseen,0.00086874515,0,0,1
age_and_family_status,2,6755,parents and families,Germany,pflegende Angehörige,seen,seen,0.9893995,1,1,0
age_and_family_status,2,6781,"minors, including children and pupils",Germany,diesen Kindern | die Kinder,seen | seen,seen,0.9922133,1,1,1
age_and_family_status,2,6886,"youth, including students and apprentices",Germany,junge Menschen,seen,seen,0.9914381,1,1,1
age_and_family_status,2,6907,parents and families,Germany,Familien,seen,seen,0.16611543,0,0,0
age_and_family_status,2,6907,"minors, including children and pupils",Germany,Kinder,seen,seen,0.99039525,1,0,0
age_and_family_status,2,6960,"youth, including students and apprentices",Germany,jugendliche Gewalttäter,partial,partial,0.95869124,1,1,1
age_and_family_status,2,6965,"minors, including children and pupils",Germany,Rund 1000 kleine Gäste,unseen,unseen,0.064512566,0,0,1
age_and_family_status,2,7004,"minors, including children and pupils",Germany,den bayerischen Kindern,partial,partial,0.9887615,1,1,1
age_and_family_status,2,7025,"youth, including students and apprentices",Germany,die jugendlichen Bildungsverlierer,partial,partial,0.9851562,1,1,1
age_and_family_status,2,7244,"youth, including students and apprentices",Germany,den jungen Leuten,seen,seen,0.991314,1,1,1
age_and_family_status,2,7281,"youth, including students and apprentices",Germany,den Studenten,seen,seen,0.9925264,1,1,1
age_and_family_status,2,7285,"minors, including children and pupils",Germany,Kinder,seen,seen,0.9668251,1,1,1
age_and_family_status,2,7323,"minors, including children and pupils",Germany,Kinder,seen,seen,0.9860677,1,0,0
age_and_family_status,2,7375,parents and families,Germany,örtlicher Familien,partial,partial,0.9606005,1,1,1
age_and_family_status,2,7513,parents and families,Germany,Familie,seen,seen,0.004841555,0,0,1
age_and_family_status,2,7527,"minors, including children and pupils",Germany,den anderen Mitschülern,partial,partial,0.99133766,1,0,1
age_and_family_status,2,7641,"minors, including children and pupils",Germany,die Kinder,seen,seen,0.98381513,1,1,1
age_and_family_status,2,7650,"youth, including students and apprentices",Germany,die jungen Leute,seen,seen,0.99192226,1,1,1
age_and_family_status,2,7659,"minors, including children and pupils",Germany,Mittelschichtkind | Arbeitersproß,partial | partial,partial,0.012265457,0,0,0
age_and_family_status,2,7685,parents and families,Germany,die meisten Eltern,partial,partial,0.99211407,1,1,1
age_and_family_status,2,7737,"youth, including students and apprentices",Germany,frische Absolventen | frische Absolventen,partial | partial,partial,0.0012692388,0,0,1
age_and_family_status,2,7738,"youth, including students and apprentices",Germany,14-Jährige,seen,seen,0.010278614,0,0,0
age_and_family_status,2,7767,"minors, including children and pupils",Germany,fast 70 Kinder,partial,partial,0.992222,1,1,1
age_and_family_status,2,7769,parents and families,Germany,pflegende Angehörige,seen,seen,0.9905252,1,1,0
age_and_family_status,2,7769,"minors, including children and pupils",Germany,Kinder,seen,seen,0.80666727,1,1,0
age_and_family_status,2,7769,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9784597,1,1,0
age_and_family_status,2,7909,"youth, including students and apprentices",Germany,den vielen Jugendlichen im Sitzungssaal | Jugend,partial | seen,seen,0.98731005,1,1,1
age_and_family_status,2,7980,"youth, including students and apprentices",Germany,Jugendarbeitslosigkeit,partial,partial,0.9862911,1,0,1
age_and_family_status,2,8100,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9894911,1,0,0
age_and_family_status,2,8131,"youth, including students and apprentices",Germany,die meisten sind jung,partial,partial,0.97174376,1,0,1
age_and_family_status,2,8175,"minors, including children and pupils",France,celles des enfants qui apprennent à écrire,partial,partial,0.987718,1,1,1
age_and_family_status,2,8336,"minors, including children and pupils",France,des enfants,seen,seen,0.96174717,1,1,1
age_and_family_status,2,8560,"youth, including students and apprentices",France,la jeunesse,seen,seen,0.9911554,1,1,1
age_and_family_status,2,8673,parents and families,France,la famille,seen,seen,0.9870782,1,1,0
age_and_family_status,2,8673,"minors, including children and pupils",France,des garçons | des filles,seen | seen,seen,0.987763,1,1,1
age_and_family_status,2,8802,"youth, including students and apprentices",France,Les jeunes des quartiers,seen,seen,0.9653927,1,1,1
age_and_family_status,2,8848,"minors, including children and pupils",France,aux mineurs,seen,seen,0.9918819,1,1,1
age_and_family_status,2,8890,"youth, including students and apprentices",France,la jeunesse,seen,seen,0.9911869,1,1,1
age_and_family_status,2,9042,"minors, including children and pupils",France,des élèves,seen,seen,0.9926696,1,1,1
age_and_family_status,2,9071,couples,France,les époux,seen,seen,0.98706996,1,0,1
age_and_family_status,2,9088,"youth, including students and apprentices",France, des jeune,seen,seen,0.9886001,1,1,1
age_and_family_status,2,9131,"youth, including students and apprentices",France,"
Les jeunes gens nés avant le 1er janvier 19",partial,partial,0.9488767,1,1,1
age_and_family_status,2,9285,parents and families,France,des familles,seen,seen,0.991915,1,1,1
age_and_family_status,2,9303,"youth, including students and apprentices",France,10.000 jeunes,seen,seen,0.97173744,1,1,1
age_and_family_status,2,9384,"minors, including children and pupils",France,des filles qui commencent à racoler dans les rues à 12 ans,partial,partial,0.9858994,1,1,1
age_and_family_status,2,9393,elderly,France,les personnes âgées,seen,seen,0.9866981,1,1,1
age_and_family_status,2,9396,couples,France,époux,seen,seen,0.97374445,1,0,1
age_and_family_status,2,9401,"youth, including students and apprentices",France,des étudiants,seen,seen,0.99006534,1,1,1
age_and_family_status,2,9418,couples,France,les couples de lesbiennes mariées,partial,partial,0.9841517,1,1,1
age_and_family_status,2,9419,couples,France,aux couples de femmes,partial,partial,0.9804749,1,1,0
age_and_family_status,2,9419,singles,France,aux femmes célibataires,partial,partial,0.98228514,1,1,1
age_and_family_status,2,9420,couples,France,en couple,seen,seen,0.97815186,1,0,1
age_and_family_status,2,9420,singles,France,célibataires,seen,seen,0.9879445,1,1,1
age_and_family_status,2,9438,parents and families,France,des parents,seen,seen,0.99176687,1,1,1
age_and_family_status,2,9457,"youth, including students and apprentices",France,les futurs étudiants del'université,partial,partial,0.98381585,1,1,1
age_and_family_status,2,9468,"minors, including children and pupils",France,d’enfants de la rue,partial,partial,0.9707534,1,1,1
age_and_family_status,2,9514,parents and families,Germany,"diejenigen, die Kinder erziehen",partial,partial,0.00021919196,0,0,1
age_and_family_status,2,9514,"minors, including children and pupils",Germany,Kinder,seen,seen,0.98421127,1,1,0
age_and_family_status,2,9585,couples,Germany,mit klassischen Paaren heterosexueller Art,partial,partial,0.9652812,1,0,1
age_and_family_status,2,9593,singles,Germany,Überzeugte Singles,partial,partial,0.9910663,1,0,1
age_and_family_status,2,9596,singles,Germany,Singles,seen,seen,0.9905627,1,0,1
age_and_family_status,2,9610,parents and families,Germany,Eltern,seen,seen,0.0010676597,0,0,1
age_and_family_status,2,9618,middle-aged and pre-retirement age groups,Germany,Vorruhestandsalter,unseen,unseen,0.084835455,0,0,1
age_and_family_status,2,9629,couples,France,les couples hétérosexuels,seen,seen,0.99030566,1,1,1
age_and_family_status,2,9636,"youth, including students and apprentices",France,des 20-30 ans,seen,seen,0.8821799,1,0,1
age_and_family_status,2,9636,middle-aged and pre-retirement age groups,France,les quinquagénaires,seen,seen,0.6290856,1,0,1
age_and_family_status,2,9637,middle-aged and pre-retirement age groups,France,quinqua | les sexagénaires,partial | unseen,partial,0.7157566,1,0,1
age_and_family_status,2,9638,middle-aged and pre-retirement age groups,France,un préretraité,unseen,unseen,0.0076133204,0,0,0
identities,0,82,"people with an immigration background, including immigrants",Germany,Migranten,seen,seen,0.98363864,1,1,1
identities,0,84,"people with an immigration background, including immigrants",Germany,Flüchtlings,seen,seen,0.9834947,1,0,1
identities,0,92,"people with an immigration background, including immigrants",Germany,palästinensischer Einwanderer,partial,partial,0.97925687,1,0,1
identities,0,283,women,Germany,"Die Frauen, die jeden Tag aufstehen müssen, um gegen Brustkrebs zu kämpfen",partial,partial,0.9765638,1,1,1
identities,0,293,women,Germany,Grundschülerinnen,partial,partial,0.0014708877,0,0,0
identities,0,354,"people with an immigration background, including immigrants",Germany,vieler Menschen aus Afghanistan,unseen,unseen,0.20102991,0,0,1
identities,0,471,women,Germany,mit blonden nackten Frauen,partial,partial,0.9765702,1,1,1
identities,0,477,"people with an immigration background, including immigrants",Germany,ausländischer Jugendlicher,partial,partial,0.9832343,1,0,1
identities,0,485,women,Germany,keine weiteren Frauen,seen,seen,0.9829281,1,1,1
identities,0,533,LGBTQIA+,Germany,Homo | gleichgeschlechtliche Paare,seen | partial,seen,0.97630864,1,0,1
identities,0,650,men,Germany,trans Mann,partial,partial,0.9805493,1,0,0
identities,0,650,women,Germany,trans Frau,seen,seen,0.97736657,1,1,0
identities,0,650,LGBTQIA+,Germany,trans Frau | Kinder,seen | unseen,seen,0.97975737,1,1,1
identities,0,771,women,Germany,Frauen,seen,seen,0.9797468,1,1,1
identities,0,772,"people with an immigration background, including immigrants",Germany,Flüchtlings,seen,seen,0.9834221,1,1,1
identities,0,812,men,Germany,Trans,partial,partial,0.9784929,1,1,1
identities,0,812,LGBTQIA+,Germany,Trans | die Männer | trans Personen,seen | partial | seen,seen,0.97449344,1,1,1
identities,0,815,multiple (or other) religious or minority groups,Germany,religiösen,partial,partial,0.059889365,0,0,1
identities,0,846,disabled people,Germany,Blinden | Blinde,seen | seen,seen,0.95209336,1,0,1
identities,0,850,men,Germany,den Männern in der Altersklasse 50-54,partial,partial,0.9747975,1,1,1
identities,0,901,"people with an immigration background, including immigrants",Germany,viele anerkannte Flüchtlinge,seen,seen,0.98354393,1,1,1
identities,0,1015,"people with an immigration background, including immigrants",Germany,Flüchtlings | Flüchtlinge,seen | seen,seen,0.9835845,1,1,1
identities,0,1040,"people with an immigration background, including immigrants",Germany,200 000 Menschen,no_content,no_content,0.0022263264,0,0,0
identities,0,1112,women,Germany,als Frau,seen,seen,0.934394,1,1,1
identities,0,1112,cisgender and heterosexuals,Germany,cis,partial,partial,0.9568966,1,1,1
identities,0,1156,LGBTQIA+,Germany,trans,seen,seen,0.8003432,1,1,0
identities,0,1166,LGBTQIA+,Germany,"lesbischen, schwulen und transsexuellen  Kulturschaffenden",partial,partial,0.9799628,1,0,1
identities,0,1310,women,Germany,"die ,,Females' | ihre Protagonistinnen",unseen | unseen,unseen,0.9830852,1,0,1
identities,0,1431,"people with an immigration background, including immigrants",Germany,sogenannte Gefährder,unseen,unseen,0.3745201,0,0,1
identities,0,1438,"people with an immigration background, including immigrants",Germany,200 oder mehr Flüchtlinge,seen,seen,0.98361087,1,1,1
identities,0,1439,women,Germany,als trans Frau,seen,seen,0.80428255,1,1,0
identities,0,1439,LGBTQIA+,Germany,als trans Frau,seen,seen,0.94233733,1,1,1
identities,0,1461,men,Germany,seiner Helden,unseen,unseen,0.00076926616,0,0,0
identities,0,1461,women,Germany,Heldinnen,unseen,unseen,0.04245696,0,0,0
identities,0,1568,"people with an immigration background, including immigrants",Germany,Flüchtlings,seen,seen,0.9837193,1,1,1
identities,0,1582,"people with an immigration background, including immigrants",Germany,russischer Flüchtlinge,partial,partial,0.9835523,1,1,1
identities,0,1605,men,Germany,cis Männern,partial,partial,0.9775174,1,1,1
identities,0,1605,cisgender and heterosexuals,Germany,cis Männern,partial,partial,0.96670914,1,1,1
identities,0,1610,women,Germany,Feministinnen | lesbischen,partial | partial,partial,0.0009471523,0,0,1
identities,0,1610,LGBTQIA+,Germany,lesbischen,partial,partial,0.9760567,1,0,1
identities,0,1693,"people with an immigration background, including immigrants",Germany,"Türken, die in Deutschland in Haft sind",partial,partial,0.0062895026,0,0,0
identities,0,1864,women,Germany,die Frauen,seen,seen,0.98218197,1,1,1
identities,0,1898,men,Germany,Männer,seen,seen,0.9813067,1,1,1
identities,0,1898,women,Germany,"Frauen, die Männer als Sexobjekte sähen",partial,partial,0.98226434,1,1,1
identities,0,1919,"people with an immigration background, including immigrants",Germany,Flüchtlinge | die Migranten,seen | seen,seen,0.9836114,1,1,1
identities,0,2145,women,Germany,die Zuschauerinnen,unseen,unseen,0.00043584406,0,0,1
identities,0,2156,"people with an immigration background, including immigrants",Germany,Ausländer,seen,seen,0.8601065,1,0,0
identities,0,2236,LGBTQIA+,Germany,um Liebe winselnden Transvestiten,partial,partial,0.16483253,0,0,1
identities,0,2256,LGBTQIA+,Germany,der queeren Community | Viele in der Szene,partial | partial,partial,0.97818714,1,0,1
identities,0,2389,men,Germany,Junge | Mann,seen | no_content,seen,0.9775058,1,0,0
identities,0,2389,women,Germany,Eine trans Frau,seen,seen,0.96214086,1,1,0
identities,0,2389,cisgender and heterosexuals,Germany,Wer nicht trans ist,seen,seen,0.9729912,1,1,1
identities,0,2389,LGBTQIA+,Germany,Eine trans Frau,seen,seen,0.9604209,1,1,1
identities,0,2444,men,Germany,Männern,seen,seen,0.98330206,1,1,0
identities,0,2558,women,Germany,die Mutter,seen,seen,0.97342765,1,0,0
identities,0,2583,Christians,Germany,Gläubigen,unseen,unseen,0.00016648171,0,0,1
identities,0,2620,men,Germany,zwei Männer,seen,seen,0.97138566,1,1,0
identities,0,2620,women,Germany,zwei Frauen,seen,seen,0.44977072,0,1,0
identities,0,2620,LGBTQIA+,Germany,zwei Männer | zwei Frauen | eine Familie,partial | seen | unseen,seen,9.8991e-05,0,1,1
identities,0,2670,"people with an immigration background, including immigrants",Germany,die Asylbewerber,seen,seen,0.9836091,1,1,1
identities,0,2705,men,Germany,Männer,seen,seen,0.97630227,1,1,1
identities,0,2705,women,Germany,keine Feministinnen,partial,partial,0.0005862402,0,1,0
identities,0,2744,men,Germany,männlicher,partial,partial,0.00016927804,0,0,1
identities,0,2744,women,Germany,weiblicher,partial,partial,0.97105026,1,0,1
identities,0,2915,"people with an immigration background, including immigrants",France,des enfants d'immigrés,seen,seen,0.98269075,1,0,1
identities,0,3016,Jews,France,Juifs,seen,seen,0.9816907,1,1,1
identities,0,3122,"people with an immigration background, including immigrants",France,des sans-papiers,seen,seen,0.00028578594,0,0,1
identities,0,3122,Ethnic and racial minorities,France,les petits beurs,unseen,unseen,3.380627e-05,0,0,1
identities,0,3210,Jews,France,ses amis juifs,partial,partial,0.95946145,1,1,1
identities,0,3313,women,France,des femmes,seen,seen,0.4896853,0,1,1
identities,0,3407,men,France,Tous ces hommes,seen,seen,0.18810023,0,1,1
identities,0,3409,women,France,si peu de femmes,seen,seen,0.98223096,1,1,1
identities,0,3453,men,France,les masculins,unseen,unseen,0.9579072,1,0,1
identities,0,3453,women,France,les féminines,seen,seen,0.9819072,1,0,1
