hypothesis_label,bucket,prob_entail,premise,outlet,year
Christians,true_positive,0.997,Und für zukünftige Elektro-Leichenwagen stehen schon Ladesäulen parat.---Laut Schulte Döinghaus sind mittlerweile 70 Prozent aller Bestattungen Einäscherungen - fast nur Christen.---Der Hauptgrund: die Kosten.,Bild,2022.0
Ethnic and racial minorities,false_positive,0.994,"« Directeur de la musique » du gouvernement de Vichy, son maître Alfred Cortot vient de renvoyer tous les musiciens juifs du National en invoquant la nécessité d'un contrôle de fonction.",Monde,1995.0
Ethnic and racial minorities,false_positive,0.96,Deutschland war sehr hilfreich in Annapolis und sehr großzügig bei der Zusage von Hilfen für die Palästinenser.,Welt,2008.0
Ethnic and racial minorities,false_positive,0.992,"Um den Titel ""Schule ohne Rassismus"" zu bekommen, müssen sich mehr als siebzig Prozent aller Schüler und Lehrer verpflichten, selber alle rassistischen Äußerungen und Taten zu unterlassen und Themen wie Rassismus und Gewalt im Unterricht zu behandeln.",Zeit,1995.0
Ethnic and racial minorities,false_positive,0.997,"Quitte à s'emparer parfois d'un mégaphone pour y lancer des slogans comme ' Le Pen président ', moins critiquables que les refrains xénophobes entendus les années précédentes à cet endroit comme ' les Français d'abord, immigrés dehors '. '",Figaro,2002.0
Ethnic and racial minorities,false_positive,0.989,"In diesem Zusammenhang beschuldigte er die engsten deutschen Verbündeten in Europa, Frankreich und Großbritannien, ihre militärische Präsenz im ehemaligen Jugoslawien ""mit offener Sympathie für die Serben"" zu verbinden.",Zeit,1995.0
Ethnic and racial minorities,false_positive,0.985,Batteurs sénégalais et sonneurs bretons.,Parisien,2000.0
Ethnic and racial minorities,false_negative,0.992,"Les Noirs ne représentent pourtant que 12,8 % de la population.",MondeDiplo,2007.0
Ethnic and racial minorities,false_negative,0.001,"Et n’oublient pas, au passage, de se pencher sur la situation des Gitans, qui demeurent structurellement discriminés.",MondeDiplo,2000.0
Ethnic and racial minorities,false_negative,0.008,"Allons donc, les Roms seraient donc devenus la source de tous les problèmes du territoire ?",Liberation,2000.0
Ethnic and racial minorities,false_negative,0.001,"De la mère qui ne croit qu'en la famille aux policiers qui malmènent les petits beurs, du désarroi des sans-papiers aux bandes qui surveillent leurs territoires... tout est criant de vérité avec parfois des images pittoresques comme les jeunes qui jouent au golf sur un terrain vague avec une prise de guerre ou la mère abusive qui refuse de renseigner l'institutrice sur son fils en cavale.---En travelling, contre-plongée, panoramique, de jour ou de nuit, les bâtiments défilent, habitats-prison d'une communauté incomprise, victime bientôt coupable du malaise urbain.",Figaro,2002.0
Ethnic and racial minorities,false_negative,0.985,Cours de danse gratuits  Sur les murs en crépi sobres se détachent les ombres des danseurs black et latinos débarqués des quatre coins de Paris.,Parisien,2000.0
Ethnic and racial minorities,false_negative,0.972,"---Surveillance discrète ---Les enquêteurs, exploitant un renseignement recueilli au sein de la communauté rom, s'intéressent bientôt à un noyau de malfaiteurs déjà bien connus et installés à Bobigny",Figaro,2006.0
Ethnic and racial minorities,true_positive,0.994,"Für schwarze Menschen ist sie es nicht, gehört sie doch in Deutschland zum Alltag.",Zeit,2000.0
Ethnic and racial minorities,true_positive,0.996,"Was nämlich wäre schon ein gewonnenes Dschungelscharmützel, für das letzten Endes doch nur wieder die Zivilbevölkerung bezahlen müsste, gegen die erfolgreichen Strategien, die Minderheit der Karen aus dem Schatten ins Licht der öffentlichen Wahrnehmung zu bringen?---Für die Verbindung zu UN-Diplomaten sorgt die in New York ansässige Partnerorganisation Witness, aus Deutschland kommt Hilfe in Gestalt von projektbezogenen Spendengeldern von ""Brot für Welt"" und Misereor.",Welt,2008.0
Ethnic and racial minorities,true_positive,0.992,"Dès ses classes, il ' ne se sent pas appartenir au contingent, ce gadget, mais au peuple indigène, et cela pour deux raisons, première, les orientalistes français, genre Flaubert, Gautier, Loti, Delacroix n'auraient rien trouvé à écrire ou à peindre du contingent, deuxième raison, dès le premier coup d'oeil j'avais compris que l'indigène est un Zigane comme moi. '",Figaro,2002.0
Ethnic and racial minorities,true_positive,0.997,Es gibt Indianer und Schwarze.,FAZ,2021.0
Ethnic and racial minorities,true_positive,0.997,"«Des Noirs, jeunes réfugiés et musulmans dans un village où la moitié de la population a plus de 60 ans, ça a fait causer dans les chaumières», raconte Micheline, 66 ans, l'une des bénévoles de l'antenne locale des Restos du cœur.",Liberation,1999.0
Ethnic and racial minorities,true_positive,0.997,"Er wollte etwas hinterlassen, dass vor allem die Schwarzen - die man damals noch als Gemeinschaft sah - als großen Beitrag zur ""Black Music"" anerkennen würden.",Welt,2008.0
Jews,false_positive,0.996,"On sait bien qu'il y a des prêtres orthodoxes extrémistes, mais enfin ils n'ont pas le pouvoir /... '---Dimanche dernier, l'office a été célébré à Vladimir par le père Bonaventure, congolais d'origine.",Figaro,2002.0
Jews,false_positive,0.996,"De son éducation chez les jésuites et de son passage à l'université catholique de Louvain, Pierre Ryckmans, qui a choisi son pseudonyme en hommage à Victor Segalen, a retenu l'idéal humaniste des disciplines ouvertes. '",Figaro,2002.0
Jews,false_positive,0.997,"Le roman met en scène des Arabes, des Berbères, des Juifs et des « Européens » qui, par leur geste, contreviennent à l’étanchéité coloniale.",Mediapart,2016.0
Jews,false_positive,0.994,"Reste que derrière, l'immense majorité des petites associations, SOS-homophobie, les scouts laïcs ou encore Terre Verte, regroupant à elles toutes des dizaines de milliers de personnes, s'en remettaient aux seuls policiers pour leur sécurité.",Figaro,2002.0
Jews,false_positive,0.997,"Er rühmt die Werte der Mormonen, Familie, Treue, Disziplin, und betont, dass er natürlich mit Romney theologisch vollkommen über Kreuz ist und bleibe.",Welt,2008.0
Jews,false_positive,0.997,"Mais pourquoi établir une comparaison avec les véritables génocides subis par les Arméniens, les juifs, les Khmers ou les Rwandais, sans oublier les Indiens d’Amérique ?",MondeDiplo,2001.0
Jews,false_negative,0.994,"Jederzeit würde er einen neuen Auftrag zur Ermordung von Juden übernehmen.---Der ""Focus"" berichtet weiter: ""Mit den an der Dokumentation beteiligten Sendern SWR, rbb und BR sei vorab vereinbart worden, dass keine Honorare an noch lebende palästinensische Geiselnehmer gezahlt werden, sagte die Sprecherin des Senders Berlin-Brandenburg (rbb), Stefanie Tannert.",Bild,2022.0
Jews,false_negative,0.001,"En l'an 2000, 8 000 pèlerins s'étaient déplacés à Djerba pour se ressourcer.",Figaro,2002.0
Jews,false_negative,0.994,"« Directeur de la musique » du gouvernement de Vichy, son maître Alfred Cortot vient de renvoyer tous les musiciens juifs du National en invoquant la nécessité d'un contrôle de fonction.",Monde,1995.0
Jews,false_negative,0.994,"Dommage que le chapitre fort bienvenu, intitulé ' Dans le miroir du prolétariat et du socialisme ', qui fait le point sur la question du sionisme envisagé par beaucoup comme une révolution sociale, ne fasse pas la part plus belle au trop peu connu Bernard Lazare et oublie tout à fait le décidément dédaigné Saul Rapha]l Landau, auteur d'un passionnant Parmi les prolétaires juifs et opposant socialiste à Herzl.",Figaro,2002.0
Jews,false_negative,0.966,"Des invités d'honneur les ' Amis de la Tunisie ' avec à leur tête Philippe Séguin, le réalisateur Alexandre Arcady et le propriétaire de casinos Isidore Partouche témoignent de leur sollicitude.---Durant les cérémonies, les pèlerins scandent dans la synagogue des ' yaya Ben Ali ' ' vive Ben Ali '.",Figaro,2002.0
Jews,false_negative,0.002,"Le tournant une fois pris, cette identification non seulement à Israël, mais aussi à la politique de gouvernements de plus en plus à droite, s'accentue au fil des années, si bien qu'au grand dam d'Enderlin, ni le Crif ni le Consistoire n'émettent plus de réserves devant la politique annexionniste du Likoud et de ses alliés religieux.",Liberation,1999.0
Jews,true_positive,0.997,"et la présence de certains aurait mérité quelques explications et précisions malheureusement absentes.---C'est le cas, par exemple, de Léon Bloy dont la place si particulière dans ' l'espace ' catholique et le sentiment si complexe à l'égard des juifs auraient exigé une présentation plus complète et plus circonstanciée.",Figaro,2002.0
Jews,true_positive,0.997,"Cas singulier dans le Monde arabe, la coexistence pacifique entre les communautés juive et musulmane est aujourd'hui mise à l'épreuve par la crise au Proche-Orient.",Figaro,2002.0
Jews,true_positive,0.997,"Dès lors, toute perspective de coexistence entre Juifs et Arabes est en réalité abandonnée.",Figaro,2002.0
Jews,true_positive,0.997,"Pour les Juifs qui aspirent à la fondation d'un véribable Etat hébreu, la perspective ainsi esquissée est en revanche inacceptable, vite la violence renaît donc, attisée évidemment par les persécutions nazies.---Pour comprendre ce qui se passe aujourd'hui au Proche-Orient, il faut lire Henry Laurens, et en particulier les pages remarquables qu'il consacre à l'abandon des Juifs d'Europe juste avant le début de la Seconde Guerre mondiale : ' Dans les appareils d'Etat, sauf certains cas individuels, écrit-il, il n'existe pas de véritable antisémitisme, mais, ce qui est peut-être pire, une attitude d'indifférence.",Figaro,2002.0
Jews,true_positive,0.997,"), les représentants des jeunes ensuite (Unef (étudiants), UEJ (étudiants juifs), SOS racisme).",Figaro,2002.0
Jews,true_positive,0.997,L'incident avait provoqué une très vive émotion dans la communauté juive,Monde,2010.0
LGBTQIA+,false_positive,0.996,"Deshalb nun also cis.---Die Nägel, die Haare, das Make-up: Sie markieren Kühnert als Frau.",Spiegel,2023.0
LGBTQIA+,false_positive,0.997,"Was nämlich wäre schon ein gewonnenes Dschungelscharmützel, für das letzten Endes doch nur wieder die Zivilbevölkerung bezahlen müsste, gegen die erfolgreichen Strategien, die Minderheit der Karen aus dem Schatten ins Licht der öffentlichen Wahrnehmung zu bringen?---Für die Verbindung zu UN-Diplomaten sorgt die in New York ansässige Partnerorganisation Witness, aus Deutschland kommt Hilfe in Gestalt von projektbezogenen Spendengeldern von ""Brot für Welt"" und Misereor.",Welt,2008.0
LGBTQIA+,false_positive,0.997,"Le ministre de la santé se dit « fier d’être en tribune pour ouvrir enfin ce droit nouveau » : la PMA pour toutes les femmes, célibataires ou en couple.",Mediapart,2020.0
LGBTQIA+,false_positive,0.996,"Dass sie Menschen schlug, verschleppte, zur Zwangsarbeit in anderen Landesteilen zwang oder sie in Lagern totschlug, die Frauen vergewaltigte ..."" Er macht eine Pause, aber es ist keine Kunstpause, kein Rhetorikkniff, um womöglich die Wirkung des Gesagten auf den Beobachter zu testen.",Welt,2008.0
LGBTQIA+,false_positive,0.995,"»Es gibt einen modischen Trend.«---Tatsächlich steigen die Zahlen seit Jahren, aber auf niedrigem Niveau: 2021 ließen 2598 Menschen in Deutschland eine geschlechtsangleichende Operation an sich vornehmen   20 Prozent mehr als 2020, etwa doppelt so viele wie 2015.---Auf Teenager ab 15 entfielen gut sieben Prozent der Eingriffe.",Spiegel,2023.0
LGBTQIA+,false_positive,0.993,"Wenn man so will, ist das Hamam einer jener sogenannten Safe Spaces für marginalisierte Menschen, für die progressive Gruppen sonst kämpfen.---Aber was, wenn die eine diskriminierte Gruppe die andere ausschließt?---Bei dem Vorfall sollen sich mehrere Besucherinnen über die nackte trans Frau beschwert haben, andere hätten sich mit ihr solidarisiert.",Spiegel,2023.0
LGBTQIA+,false_negative,0.005,"Aber wer hätte sich vor 30 Jahren in Deutschland ernsthaft vorstellen können, dass zwei Männer oder zwei Frauen heiraten und eine Familie gründen?",Spiegel,2023.0
LGBTQIA+,false_negative,0.97,"Selon l'avocate, spécialiste de la cause homosexuelle, « la plus haute juridiction judiciaire ne reconnaît pas les mêmes droits aux enfants élevés par deux parents du même sexe et aux enfants issus d'un couple hétérosexuel.",Figaro,2007.0
LGBTQIA+,false_negative,0.086,"Jeder sollte in jedem Beruf alles sein dürfen, egal ob Mann ob Frau, ob homo- oder heterosexuell.",Welt,2018.0
LGBTQIA+,false_negative,0.32,"Der Gedanke: Ein Mann, der zur Frau werde, habe einiges zu verlieren in einer Männergesellschaft.",Spiegel,2023.0
LGBTQIA+,false_negative,0.989,"Selbstverständlich ist das nicht.---Der Kulturkampf um die Homosexualität ist im Westen weitgehend befriedet, und so hat sich die öffentliche Aufmerksamkeit von L und G zu T verlagert, also von Lesben und Schwulen zu trans Personen.",Spiegel,2023.0
LGBTQIA+,false_negative,0.99,"»Trans Personen verkörpern den modernen Machbarkeitswahn«, sagt Villa Braslavsky.",Spiegel,2023.0
LGBTQIA+,true_positive,0.996,"Er schlachtete außerdem den Widerstand  gegen die Entscheidung der Regierung und des Verfassungsgerichts, die Homo-Ehe und die Adoption von Kindern durch gleichgeschlechtliche Paare zuzulassen, für seine Zwecke aus.",FAZ,2021.0
LGBTQIA+,true_positive,0.997,"Wenn Kühnert in den sozialen Netzwerken über ihr Leben als trans Frau spricht, verfolgen das Zehntausende.",Spiegel,2023.0
LGBTQIA+,true_positive,0.994,"---  Die Hamburger Travestiekünstlerin und Serienexpertin Nessy Karolinger, die in Bad Tölz bereits die ,,Bullentour' organisiert, führt nun abwechselnd mit Moritz Fischer die Hubert-und-Staller-Tour und fährt mit den Teilnehmern rund 35 Kilometer durch Wolfratshausen und zum Starnberger See.",SZ,2016.0
LGBTQIA+,true_positive,0.992,"Partout dans son programme, Marine Le Pen fait de toute façon la distinction entre les femmes : entre les Françaises et les étrangères, entre les musulmanes et les autres, entre les lesbiennes et les hétérosexuelles.",Mediapart,2022.0
LGBTQIA+,true_positive,0.991,"So hätten trans Personen nahezu ausnahmslos ein perfektes Passing angestrebt, sich also so umgestaltet, dass sie im Zweigeschlechtersystem möglichst nicht auffielen.",Spiegel,2023.0
LGBTQIA+,true_positive,0.993,"Oder auch in der ungelenken, zunächst unhöflich wirkenden Anrede, die sich gerade in Korrespondenzen aller Art breitmacht: »Guten Tag, Vorname Nachname«, das Ziel: die binäre Geschlechterordnung umgehen, wo immer dies möglich ist.---Früher, sagt Herrn, seien trans Personen bestrebt gewesen, den Per­sonenstand und den Vornamen zu ­ändern und sich sprachlich schnell wieder ins Zweigeschlechtersystem einzupassen.",Spiegel,2023.0
Muslims,false_positive,0.994,"Des incidents ont éclaté hier soir dans le quartier sensible de Monclar, à Avignon, où règne depuis lundi une forte tension entre communautés maghrébine et gitane",Figaro,2010.0
Muslims,false_positive,0.992,Zwei seiner Brüder gehören der fundamentalistischen Hamas-Organisation an.,Zeit,1995.0
Muslims,false_positive,0.996,"Dans l'esprit de beaucoup de ses anciens admirateurs, il reste le chef d'état-major sous le commandement duquel des soldats abandonnèrent leur poste tant face au Hezbollah, au Liban du Sud, que face au Mouvement de la résistance islamique (Hamas), près de la colonie de Netzarim, dans la bande de Gaza.",Monde,1995.0
Muslims,false_positive,0.997,La petite tribu arabe des Ould Souleymane dont il est issu pèse peu.,Figaro,2020.0
Muslims,false_positive,0.997,"Le roman met en scène des Arabes, des Berbères, des Juifs et des « Européens » qui, par leur geste, contreviennent à l’étanchéité coloniale.",Mediapart,2016.0
Muslims,false_positive,0.993,La vengeance des hindous a été terrible.,Figaro,2002.0
Muslims,false_negative,0.995,"Les islamistes le savent et opèrent à l’extérieur, en privé, sur internet.",Mediapart,2015.0
Muslims,false_negative,0.978,"A la fin de leurs travaux, les femmes présentes prêtent serment sur le Coran et l'Evangile de boycotter toute leur vie les Juifs et ceux qui auraient des relations avec eux, fussent leurs maris ou leurs frères ; avant de se disperser, elles défilent en voiture dans les grandes artères de Jérusalem. '",Figaro,2002.0
Muslims,false_negative,0.99,Les clercs les mollahs n'ont plus le monopole ni de la parole ni du spirituel.,Monde,1995.0
Muslims,false_negative,0.991,"Au lendemain du drame de Charlie Hebdo, le gouvernement avait tenu un discours sur la nécessaire nouvelle organisation du Conseil français du culte musulman.",Liberation,2000.0
Muslims,false_negative,0.992,"Sie wüssten nicht mehr, was sie Musliminnen sagen sollten.",Spiegel,2023.0
Muslims,false_negative,0.61,"---Wer als CSU-Politiker oder sogar von der SPD die Letzte Generation mit den Taliban vergleicht, zeigt, dass er/sie keine Ahnung hat, was die Taliban sind und anrichten.",Spiegel,2023.0
Muslims,true_positive,0.997,"Les services secrets britanniques enquêtent sur les activités d'islamistes algériens, soupçonnés de collecter des fonds, à Londres, pour le Groupe islamique armé (GIA), a affirmé, dimanche 1e janvier, le Sunday Times.",Monde,1995.0
Muslims,true_positive,0.997,"Certains seraient même forcés à vendre de la drogue pour le compte des islamistes, souligne l'hebdomadaire.",Monde,1995.0
Muslims,true_positive,0.996,"Par ailleurs, le Conseil national des Français musulmans a annoncé, samedi, que, au terme d'une opération porte-à-porte menée depuis trois mois, 17 000 Français musulmans se sont fait inscrire sur les listes électorales.",Monde,1995.0
Muslims,true_positive,0.997,"Cas singulier dans le Monde arabe, la coexistence pacifique entre les communautés juive et musulmane est aujourd'hui mise à l'épreuve par la crise au Proche-Orient.",Figaro,2002.0
Muslims,true_positive,0.992,"M. Rabbani avait été désigné comme président il y a deux ans, par une assemblée de moudjahidins qui avaient combattu l'invasion soviétique.",Monde,1995.0
Muslims,true_positive,0.997,"Die trans Frau habe zugestimmt   aber sich im Hamam dann nicht daran gehalten.---Das Berliner Hamam folgt einer türkischen Tradition, es richtet sich auch an muslimische Frauen, die mit nackten Männern nicht baden dürfen.",Spiegel,2023.0
cisgender and heterosexuals,false_positive,0.994,"« S'ils veulent garder et augmenter leur majorité à la House, reprendre le Sénat et emporter la Maison Blanche, les démocrates doivent montrer au peuple américain qu’ils défendent et combattent pour les familles laborieuses de ce pays – Noirs, Blancs, Hispaniques, Asiatiques et Natives, hommes et femmes, gays et hétérosexuels », poursuit le sénateur de 77 ans.",Mediapart,2018.0
cisgender and heterosexuals,false_positive,0.997,Er arbeitet seit Jahrzehnten zur Geschichte von trans Personen.,Spiegel,2023.0
cisgender and heterosexuals,false_positive,0.995,Mais il manque la présomption de maternité pour les couples de lesbiennes mariées.,Mediapart,2019.0
cisgender and heterosexuals,false_positive,0.997,"Das sind Veranstaltungen, bei denen Menschen, die nicht heterosexuell sind, ihre Rechte und den Stolz auf die eigene Sexualität feiern.---Auch deswegen werden LGBTQIA+ -Events und -Bars aufgelistet.",Bild,2022.0
cisgender and heterosexuals,false_positive,0.997,"Là intervient le scandale oublié des ' Ballets roses ' qui défraya la chronique en 1958, une affaire de moeurs que nous appellerions aujourd'hui ' pédophilie ', où furent compromis des personnages en vue de la IVe République.---Le rose féminité débouche de nos jours sur les intrigues sexuelles des fameuses messageries roses du Minitel ou le téléphone rose des échanges érotiques verbaux.",Figaro,2002.0
cisgender and heterosexuals,false_positive,0.996,"---Vergleicht man verschiedene Haushalte, dann haben Alleinlebende laut RWI fast über die ganze Bandbreite der Einkommen eine um rund 5 Prozentpunkte höhere Steuer- und Abgabenlast als Paare mit Kindern.",FAZ,2017.0
cisgender and heterosexuals,false_negative,0.984,Daher sind einmal im Monat nun ausdrücklich alle außer cis Männern eingeladen.,Spiegel,2023.0
cisgender and heterosexuals,false_negative,0.004,Avoir des parents hétéros n'empêche pas de porter un gros paquet de douleurs.,Parisien,2013.0
cisgender and heterosexuals,false_negative,0.984,"Deshalb nun also cis.---Die Nägel, die Haare, das Make-up: Sie markieren Kühnert als Frau.",Spiegel,2023.0
cisgender and heterosexuals,false_negative,0.002,"Und nun scheint es, als läge nicht einmal die Biologie ihn noch fest.---Doch was einen nicht festlegt, das gibt einem auch keinen Halt.---Sich seiner selbst bewusst werden, sich selbst ermächtigen, empowered sein, sich dann auch selbst gestalten und über sich herrschen, ganz allein und hyperindividuell: Das klingt wie ein Traum, der auch Menschen beflügeln kann, die nicht trans sind.",Spiegel,2023.0
cisgender and heterosexuals,true_positive,0.993,"Eine trans Frau ist also eine Person, die mal als Junge oder Mann galt.---Wer nicht trans ist, also die große Mehrheit, ist cis.",Spiegel,2023.0
cisgender and heterosexuals,true_positive,0.995,"Partout dans son programme, Marine Le Pen fait de toute façon la distinction entre les femmes : entre les Françaises et les étrangères, entre les musulmanes et les autres, entre les lesbiennes et les hétérosexuelles.",Mediapart,2022.0
cisgender and heterosexuals,true_positive,0.997,"Die Liebe bleibt ein Geschenk.---Die Transdebatte läuft meistens auf eine Schreckensfantasie zu: Wenn sich Räume, die bislang Frauen vorbehalten waren, auch für trans Frauen öffnen   könnten sich auch verkleidete cis Männer Zutritt verschaffen.---Doch wer übergriffig sein will, muss nicht warten, bis er in die Damentoilette eingeladen wird.",Spiegel,2023.0
cisgender and heterosexuals,true_positive,0.994,"Braucht die politische Bewegung der Fortschrittlichen die Belehrung durch queere Kreise, für die eine Welt mit klassischen Paaren heterosexueller Art nicht mehr state of the art ist?---Aber ich darf ohnehin nicht mehr kompetent mitreden, ich bin als weißer Cis-Mann nicht mehr akzeptabel, glaubwürdig, zurechnungsfähig.",Welt,2019.0
cisgender and heterosexuals,true_positive,0.992,"Il y a, bien sûr, dans cette logorrhée hallucinée, les saillies habituelles à l’égard du féminisme qui est « non pas un mouvement de libération des femmes » mais « une guerre d’extermination de l’homme blanc hétérosexuel ».",Mediapart,2019.0
cisgender and heterosexuals,true_positive,0.988,"Weitere Forschung und Versuche sind nötig, sagen auch Experten in den USA.---Man dürfe aber nicht nur ""trans Frauen"" auf solche Risiken hinweisen, sagt Nieder, sondern auch ""cis Frauen"".",Welt,2018.0
disabled people,false_positive,0.997,"Der Sozialpsychia­trische Dienst habe Christel und Sabine F. als »bekannte Messies« und »psychisch labil« registriert.---Sie seien keine ausgebildeten Pflegekräfte und hätten die Einnahme der Medikamente nicht »überwacht«, räumen die Frauen ein.",Spiegel,2023.0
disabled people,false_positive,0.994,"Soucieux de regrouper des prestations individuelles ou collectives, s'adressant toujours aux populations les plus fragilisées ou les plus démunies, le conseil général des Yvelines a mis au point un dispositif « centré autour de la personne » et dégageant six priorités.",Monde,1995.0
disabled people,false_positive,0.997,"En 2006, un règlement européen sur les droits et obligations des voyageurs ferroviaires a obligé la SNCF et ses homologues à proposer un service d’assistance gratuit aux voyageurs et voyageuses en situation de handicap.",Mediapart,2022.0
disabled people,false_positive,0.997,"Hintergrund ist, dass man sich in geschlossenen Räumen leichter als im Freien durch Tröpfchen anstecken kann, die Kranke etwa beim Niesen oder Husten ausstoßen.",Bild,2022.0
disabled people,false_positive,0.996,"Il précise que des initiatives ont été empêchées lorsque certains acteurs ont tenté, par exemple, de faire sortir l’autisme de la psychiatrisation, de fermer les établissements ou services d’aide par le travail (ESAT), car le droit du travail ne s’y applique toujours pas, ou de fermer les instituts médico-éducatifs (IME), considérés comme inadaptés aux besoins des enfants.",Mediapart,2021.0
disabled people,false_positive,0.996,"Die Botschaft der Benetton-Plakate ist klar: Wir Menschen sind trotz unterschiedlicher Hautfarbe gleich, wir setzen uns ein für die Schwachen, wir lassen nicht zu, daß Leben und Umwelt zerstört werden.",Zeit,1995.0
disabled people,false_negative,0.002,"Das frisch ---,,Es ist mir immer wieder eine Freude, den Menschen, die in den Einrichtungen der Lebenshilfe in Moosburg wohnen und arbeiten, eine Freude zu machen', erzählt ---Eigentlich hätte das",SZ,2017.0
disabled people,false_negative,0.346,"Mais chacun a décidé de venir avec sa banderole ou sa pancarte, parfois inscrite sur de simples feuilles A 4 : ' Au pays des aveugles, le borgne fait führer ', ' 17 %, tu t'es vu quand t'as bu ?",Figaro,2002.0
disabled people,false_negative,0.001,"Es sind ganz besondere Menschen, die ein dreifaches Chromosom 21 besitzen.",SZ,2016.0
