category,label,n_pos_train,n_words,top_words
profession,soldiers,135,20,"soldaten, militaires, soldats, troupes, russes, armées, streitkräfte, retrait, armee, pakistanische"
profession,teachers and educators,52,20,"lehrer, éducateurs, enseignants, bezahlung, assistantes, bildung, maternelles, pflege, eltern, parents"
profession,other professions,265,20,"experten, analystes, piloten, pompiers, experts, analysten, architekten, fachleute, kritiker, spécialistes"
social_roles_and_behavior,consumers and clients,290,20,"kunden, clients, visiteurs, consommateurs, touristen, gäste, verbraucher, voyageurs, spectateurs, usagers"
social_roles_and_behavior,car drivers,20,4,"automobilistes, autofahrer, conducteurs, voiture"
social_roles_and_behavior,patients,78,20,"patienten, patients, malades, patient, diabetes, behandlung, studie, maladies, médicaments, stiftung"
social_deviance,extremists,60,15,"extrémistes, pakistanische, intégristes, nazis, islamistes, nationalistes, corelli, musulmans, waffen, organisations"
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",162,20,"hamas, is, al, terroristen, rebelles, qaida, saboteure, nsu, milizen, gazastreifen"
social_deviance,"offenders, criminals, prisoners and/or accused people",161,20,"invité, casseurs, détenus, kriminelle, délinquants, täter, anklage, bandes, clankriminalität, dealers"
social_deviance,drug addicts,20,2,"toxicomanes, drogue"
real_estate_ownership,real-estate owners,69,20,"propriétaires, bailleurs, vermieter, privés, fonciers, grundeigentümer, grundbesitzer, travaux, occupants, hausbesitzer"
real_estate_ownership,tenants,33,10,"locataires, mieter, mietern, wohnungsmieter, travaux, bailleurs, propriétaires, logements, eau, cdu"
real_estate_ownership,homeless,31,6,"sdf, obdachlose, wohnungslose, abri, logements, enfants"
